Region;Comuna;Codigo_comuna;Fec;Fecha;Clave;Casos_Diarios;Casos_Acumulados;Muertes;Casos_Activos;Recuperados;Recuperados_Diarios;Dia;Fallecidos_Diarios;on-off;Max_Dia
Coquimbo;Punitaqui;4304;1;43893;430443893;0;0;0;0;0;0;0;0;OFF;18
Magallanes;Punta_Arenas;12101;1;43893;1210143893;0;0;0;0;0;0;0;0;OFF;54
Los_Lagos;Puqueldon;10206;1;43893;1020643893;0;0;0;0;0;0;0;0;OFF;0
La_Araucania;Puren;9208;1;43893;920843893;0;0;0;0;0;0;0;0;OFF;29
Los_Lagos;Purranque;10303;1;43893;1030343893;0;0;0;0;0;0;0;0;OFF;38
Valparaiso;Putaendo;5705;1;43893;570543893;0;0;0;0;0;0;0;0;OFF;45
Arica_y_Parinacota;Putre;15201;1;43893;1520143893;0;0;0;0;0;0;0;0;OFF;0
Los_Lagos;Puyehue;10304;1;43893;1030443893;0;0;0;0;0;0;0;0;OFF;48
Los_Lagos;Queilen;10207;1;43893;1020743893;0;0;0;0;0;0;0;0;OFF;0
Los_Lagos;Quellon;10208;1;43893;1020843893;0;0;0;0;0;0;0;0;OFF;0
Los_Lagos;Quemchi;10209;1;43893;1020943893;0;0;0;0;0;0;0;0;OFF;0
Biobio;Quilaco;8308;1;43893;830843893;0;0;0;0;0;0;0;0;OFF;0
Metropolitana;Quilicura;13125;1;43893;1312543893;0;0;0;0;0;0;0;0;OFF;47
Biobio;Quilleco;8309;1;43893;830943893;0;0;0;0;0;0;0;0;OFF;0
Nuble;Quillon;16107;1;43893;1610743893;0;0;0;0;0;0;0;0;OFF;49
Valparaiso;Quillota;5501;1;43893;550143893;0;0;0;0;0;0;0;0;OFF;53
Valparaiso;Quilpue;5801;1;43893;580143893;0;0;0;0;0;0;0;0;OFF;51
Los_Lagos;Quinchao;10210;1;43893;1021043893;0;0;0;0;0;0;0;0;OFF;45
O_Higgins;Quinta_de_Tilcoco;6114;1;43893;611443893;0;0;0;0;0;0;0;0;OFF;46
Metropolitana;Quinta_Normal;13126;1;43893;1312643893;0;0;0;0;0;0;0;0;OFF;46
Valparaiso;Quintero;5107;1;43893;510743893;0;0;0;0;0;0;0;0;OFF;47
Nuble;Quirihue;16201;1;43893;1620143893;0;0;0;0;0;0;0;0;OFF;34
O_Higgins;Rancagua;6101;1;43893;610143893;0;0;0;0;0;0;0;0;OFF;51
Nuble;Ranquil;16206;1;43893;1620643893;0;0;0;0;0;0;0;0;OFF;49
Maule;Rauco;7305;1;43893;730543893;0;0;0;0;0;0;0;0;OFF;38
Metropolitana;Recoleta;13127;1;43893;1312743893;0;0;0;0;0;0;0;0;OFF;55
La_Araucania;Renaico;9209;1;43893;920943893;0;0;0;0;0;0;0;0;OFF;29
